CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT078,Human,Skin,Skin,,melanoma,Endothelial cell,Endothelial cell,,,,,,,,36131018,A cellular hierarchy in melanoma uncouples growth and metastasis,nature,2022,single cell transcriptome,10× Genomics,Biological phenotype,tumor growth,mouse,,,," Co-injection of ECs enhanced xenograft growth in a cell-dose-dependent manner (Fig. 3i) and, ultimately, decreased the overall survival.",Zhihong Lin
CT079,Human,Skin,Skin,,melanoma,Endothelial cell,Endothelial cell,,,,,,,,36131018,A cellular hierarchy in melanoma uncouples growth and metastasis,nature,2022,single cell transcriptome,10× Genomics,Biological phenotype,tumor growth,cell line,co-culture,,,"After the co-culturing of melanoma and bEnd.3 cells(EC), we analysed the cellular composition using scRNA-seq (Extended Data Fig. 8e)...... These data indicated that ECs contribute to a niche environment that promotes dedifferentiation of melanoma cells and, thereby, stimulate melanoma growth.",Zhihong Lin
CT080,Human,Skin,Skin,,melanoma,Endothelial cell,Endothelial cell,,,,,,,,36131018,A cellular hierarchy in melanoma uncouples growth and metastasis,nature,2022,single cell transcriptome,10× Genomics,Biological phenotype,dedifferentiation,cell line,co-culture,,,"After the co-culturing of melanoma and bEnd.3 cells(EC), we analysed the cellular composition using scRNA-seq (Extended Data Fig. 8e)...... These data indicated that ECs contribute to a niche environment that promotes dedifferentiation of melanoma cells and, thereby, stimulate melanoma growth.",Zhihong Lin
CT081,Human,Skin,Skin,,melanoma,T cell,naive/memory CD8 T cell,,,"CD8A, CD8B, CCR7, IL7R, TCF7, SELL, SATB1, GPR183, LTB, LEF1, S100A10",,,,,33575475,Single-cell RNA-sequencing analyses identify heterogeneity of CD8+ T cell subpopulations and novel therapy targets in melanoma,Molecular therapy oncolytics,2020,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,". As shown in Figures 2C and 2D, high proportions of naive/memory and cytotoxic subpopulation 3 were associated with favorable clinical outcomes.",Zhihong Lin
CT082,Human,Skin,Skin,,melanoma,T cell,cytotoxic CD8 T cell 3,,,"PRF1, GZMA, GZMK, NKG7",,,,,33575475,Single-cell RNA-sequencing analyses identify heterogeneity of CD8+ T cell subpopulations and novel therapy targets in melanoma,Molecular therapy oncolytics,2020,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,". As shown in Figures 2C and 2D, high proportions of naive/memory and cytotoxic subpopulation 3 were associated with favorable clinical outcomes.",Zhihong Lin
CT083,Human,Skin,Skin,,melanoma,T cell,exhaustion CD8 T cell 2,,,"CXCL13, HSPB1, IRF4, LAYN, GIMAP6, HSPH1, CXCR6, CTLA4, PDCD1, LAG3, HAVCR2, TIGIT",,,,,33575475,Single-cell RNA-sequencing analyses identify heterogeneity of CD8+ T cell subpopulations and novel therapy targets in melanoma,Molecular therapy oncolytics,2020,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data, exhausted subpopulation 2 could contribute to an unfavorable prognosis (Figure 2E).,Zhihong Lin
CT084,Human,Bone marrow, Bone marrow,,Acute myeloid leukemia,Natural killer cell ,CD160 high NK cell,,,"CD3, CD14, CD19, CD45, CD56,CD160 ",,,,,8093261, Single-cell profiling reveals the trajectories of natural killer cell differentiation in bone marrow and a stress signature induced by acute myeloid leukemia,Cellular & molecular immunology,2021,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"The higher level of CD160 expression in bone marrow NK cells from healthy donors than in bone marrow cells from donors with donors with AML was confirmed by flow cytometric assessment of protein levels…... The survival rates of patients with CD160high AML were much higher than those of patients with CD160low cancer, suggesting that CD160 is an antitumor biomarker in AML (Fig. 5G).",Zhihong Lin
CT085,Human,,,,,,,,,,,,,,8093261, Single-cell profiling reveals the trajectories of natural killer cell differentiation in bone marrow and a stress signature induced by acute myeloid leukemia,Cellular & molecular immunology,2021,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"The higher level of CD160 expression in bone marrow NK cells from healthy donors than in bone marrow cells from donors with donors with AML was confirmed by flow cytometric assessment of protein levels…... The survival rates of patients with CD160high AML were much higher than those of patients with CD160low cancer, suggesting that CD160 is an antitumor biomarker in AML (Fig. 5G).",Zhihong Lin
CT086,Human,Brain,Brain,,Glioblastoma,T cell,T cell,,,,,,,,9767870,A single-cell atlas of glioblastoma evolution under therapy reveals cell-intrinsic and cell-extrinsic therapeutic targets,Nature cancer,2022,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,By contrast we found that T-cell abundance was correlated with a significant increase in survival (Fig. 5h). This seems to be driven by a cohort of outlier recurrent cases whose T-cell abundances were two to eightfold higher than average,Zhihong Lin
CT087,Human,Brain,Brain,,Glioblastoma,Stem-like cell,stem-like cell with MES characteristic,,,,,,,,9767870,A single-cell atlas of glioblastoma evolution under therapy reveals cell-intrinsic and cell-extrinsic therapeutic targets,Nature cancer,2022,single cell transcriptome,10× Genomics,Clinical phenotype,drug resistance,clinical samples,,,clinical data,"Ours and previous studies support the premise of a quiescent stem-like cell with MES characteristics that is resistant to IR and TMZ, but that re-enters the cell cycle following therapy and becomes a driver of recurrent disease.",Zhihong Lin
CT088,Human,Brain,Brain,,Glioblastoma,Macrophages,GPNMB-high macrophage,,,"CD163, CD68, GPNMB",,,,,36054938, Integrated single-cell transcriptomic analyses reveal that GPNMB-high macrophages promote PN-MES transition and impede T cell activation in GBM,EBioMedicine,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Moreover, GPNMB was also highly expressed in MES subtype patients (Figure 4d), and this higher expression predicted poor prognosis in both low- and high-grade gliomas (Figure 4e).",Zhihong Lin
CT089,Human,Brain,Brain,,Glioblastoma,Macrophages,GPNMB-high macrophage,,,"CD163, CD68, GPNMB",,,,,36054938, Integrated single-cell transcriptomic analyses reveal that GPNMB-high macrophages promote PN-MES transition and impede T cell activation in GBM,EBioMedicine,2022,single cell transcriptome,10× Genomics,Biological phenotype,T cell activation,cell line,co-culture and flow cytometry,BioLegend,protein,"Our data showed that CD11c+ DCs induced robust T cell activation when compared with GPNMB+ macrophages or monocytes, evidenced by much higher levels of CD69, IFNγ and GZMB (Figure 6f). Similarly, according to the results of the T cell proliferation assay, CD11c+ DCs significantly enhance T cell proliferation, in contrast to monocytes or GPNMB+ macrophages (Figure 6g). ",Zhihong Lin
CT090,Human,Brain,Brain,,Glioblastoma,Macrophages,GPNMB-high macrophage,,,"CD163, CD68, GPNMB",,,,,36054938, Integrated single-cell transcriptomic analyses reveal that GPNMB-high macrophages promote PN-MES transition and impede T cell activation in GBM,EBioMedicine,2022,single cell transcriptome,10× Genomics,Biological phenotype,T cell proliferation,cell line,co-culture and flow cytometry,BioLegend,protein,"Our data showed that CD11c+ DCs induced robust T cell activation when compared with GPNMB+ macrophages or monocytes, evidenced by much higher levels of CD69, IFNγ and GZMB (Figure 6f). Similarly, according to the results of the T cell proliferation assay, CD11c+ DCs significantly enhance T cell proliferation, in contrast to monocytes or GPNMB+ macrophages (Figure 6g). ",Zhihong Lin
CT091,Human,Brain,Brain,,Glioblastoma,Lymphocytes,lymphocyte,,,,,,,,36685556,Transcriptome and single-cell analysis reveal the contribution of immunosuppressive microenvironment for promoting glioblastoma progression,Frontiers in immunology,2023,single cell transcriptome,,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data," It was evident that the P subtype had higher tumor progression signatures and lower lymphocyte infiltration. These patients had the worst survival (Figure 2B, log-rank p = 0.0061). ",Zhihong Lin
CT092,Human,Brain,Brain,,Glioblastoma,Cancer cell,radial glia,,,SPARCL1,,,,,36853018,"Single-cell RNA sequencing reveals tumor heterogeneity, microenvironment, and drug-resistance mechanisms of recurrent glioblastoma",Cancer science,2023,single cell transcriptome,,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,The radial glia signature and MGMT gene expression were significantly increased and were associated with a poor prognosis in recurrent GBM compared with primary GBM ,Zhihong Lin
CT093,Human,Brain,Brain,,Glioblastoma,Cancer cell,microglia,,,"C1QA, C1QB",,,,,36853018,"Single-cell RNA sequencing reveals tumor heterogeneity, microenvironment, and drug-resistance mechanisms of recurrent glioblastoma",Cancer science,2023,single cell transcriptome,,Biological phenotype,reduction,clinical samples,immunohistochemistry,Abcam,protein,We further confirmed the reduction in microglia and that VEGF protein expression increased in the recurrent GBM using immunohistochemistry and immunofluorescence staining (Figure 6).,Zhihong Lin
CT094,Human,Lung,Lung,,Lung squamous cell carcinoma,Macrophages,SPP1+ macrophages,,,"CCL18, LPL, APOC1, NUPR1, SPP1",,,,,9411197,The heterogeneous immune landscape between lung adenocarcinoma and squamous carcinoma revealed by single-cell RNA sequencing.,Signal transduction and targeted therapy,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Survival analysis of each macrophage subcluster-specific markers based on the transcriptomic data from the TCGA database (513 LUAD and 501 LUSC) showed that increased AREG, IGHA1, MMP14, PLAU, S100A8 and decreased HPGD were inversely correlated with the overall survival of LUSC patients (Supplementary Fig. 6b). Among these genes, MMP14, PLAU, and IGHA1 were specifically upregulated in the SPP1-Mφ, suggesting the role of this cluster in the LUSC tumorigenesis ",Zhihong Lin
CT095,Human,Lung,Lung,,Lung squamous cell carcinoma,Macrophages,SPP1+ macrophages,,,"CCL18, LPL, APOC1, NUPR1, SPP1",,,,,9411197,The heterogeneous immune landscape between lung adenocarcinoma and squamous carcinoma revealed by single-cell RNA sequencing.,Signal transduction and targeted therapy,2022,single cell transcriptome,10× Genomics,Biological phenotype,juxtaposition,clinical samples,multiplex immunohistochemistry,Opal Polaris 7-color Manual IHC Kit,spatial,"In LUAD, multicolor IHC staining showed the physical juxtaposition of DC (CD1C+) and Mφ (CD68+) cells, and the molecular pair TNFRSF1A-GRN was also expressed in the two cell types, substantiating the interaction of the DC and Mφ on TNFRSF1A-GRN (Supplementary Fig. 3e). ",Zhihong Lin
CT096,Human,Lung,Lung,,Lung squamous cell carcinoma,Dendritic cells,Dendritic cells,,,"CCL17, CD1E, WFDC21P, CD1C",,,,,9411197,The heterogeneous immune landscape between lung adenocarcinoma and squamous carcinoma revealed by single-cell RNA sequencing.,Signal transduction and targeted therapy,2022,single cell transcriptome,10× Genomics,Biological phenotype,juxtaposition,clinical samples,multiplex immunohistochemistry,Opal Polaris 7-color Manual IHC Kit,spatial,"In LUAD, multicolor IHC staining showed the physical juxtaposition of DC (CD1C+) and Mφ (CD68+) cells, and the molecular pair TNFRSF1A-GRN was also expressed in the two cell types, substantiating the interaction of the DC and Mφ on TNFRSF1A-GRN (Supplementary Fig. 3e). ",Zhihong Lin
CT097,Human,Lung,Lung,,lung adenocarcinoma,Dendritic cells,cDC2,,,FCER1A、CD1C,,,,,33953163,Single-cell profiling of tumor heterogeneity and the microenvironment in advanced non-small cell lung cancer, Nature communications,2021,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Interestingly, cDC2 displayed Langerin (CD207) expression, which was inferred to be dictated by the environment. TCGA survival analysis revealed that CD207 is a prognostic marker for LUAD, but not for LUSC.",Zhihong Lin
CT098,Human,Lung,Lung,,lung adenocarcinoma, Fibroblast, fibroblast,,,α-SMA,,,,,32385277,Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma, Nature communications,2020,single cell transcriptome,10× Genomics,Biological phenotype,existence,clinical samples,immunohistochemistry,Santa Clara,protein,"The infiltration of myofibroblasts in LUAD was confirmed by the expression of the marker protein alpha smooth muscle actin (α-SMA) (ACTA2 gene product) in the tumor stroma (Fig. 3h) and in tumor-derived EPCAM-CD45- cells (Fig. 3i, j; Supplementary Fig. 10)",Zhihong Lin
CT099,Human,Lung,Lung,,Small cell lung cancer,Cancer cell,PLCG2 high cancer cell,,,PLCG2,,,,,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data," Considering only tumors that were ever extensive-stage (either at initial diagnosis or upon relapse; N = 27 passing quality control; see STAR Methods), we found that the presence of PLCG2-expressing cancer cells is negatively correlated with overall survival",Zhihong Lin
CT100,Human,Lung,Lung,,Small cell lung cancer,Cancer cell,PLCG2 high cancer cell,,,PLCG2,,,,,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,migration,"cell lines (SHP-77, H446, H82, H526, DMS-114)",PLCG2 overexpression/CRISPR knock out and migration assays,Cultrex BME Cell invasion assay kit,,"In addition, PLCG2 expression was associated with higher migration and invasion in vitro (Figure 4A)",Zhihong Lin
CT101,Human,Lung,Lung,,Small cell lung cancer,Cancer cell,PLCG2 high cancer cell,,,PLCG2,,,,,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,invasion,"cell lines (SHP-77, H446, H82, H526, DMS-114)",PLCG2 overexpression/CRISPR knock out and invasion assays,Cultrex BME Cell invasion assay kit,,"In addition, PLCG2 expression was associated with higher migration and invasion in vitro (Figure 4A)",Zhihong Lin
CT102,Human,Lung,Lung,,Small cell lung cancer,Cancer cell,PLCG2 high cancer cell,,,PLCG2,,,,,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,Clinical phenotype,metastasis,mouse,intracardiac injection and Luminescence imaging,"In Vivo Imaging System (IVIS, Perkin Elmer)",,"In addition, PLCG2 expression was associated with higher migration and invasion in vitro (Figure 4A) and with higher metastatic potential in vivo following intracardiac injection (Figures 4B and 4C), consistent with the pro-metastatic expression profile of the recurrent cluster. ",Zhihong Lin
CT103,Human,Lung,Lung,,Non-small cell lung cancer,T cell,T cell,,,CD3,,,,,36869384,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,Genome medicine,2023,single cell transcriptome,10× Genomics,Biological phenotype, increase after treatment,clinical samples,immunohistochemistry,Biolynx,protein,"IHC staining verified the increased abundance of T (CD3+) and B (CD20+) cells in MPR samples, except NK (CD56+) cells (Fig. 1E, F, and Additional file 2: Fig. S2).",Zhihong Lin
CT104,Human,Lung,Lung,,Non-small cell lung cancer,B cell,B cell,,,CD20,,,,,36869384,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,Genome medicine,2023,single cell transcriptome,10× Genomics,Biological phenotype, increase after treatment,clinical samples,immunohistochemistry,Dako,protein,"IHC staining verified the increased abundance of T (CD3+) and B (CD20+) cells in MPR samples, except NK (CD56+) cells (Fig. 1E, F, and Additional file 2: Fig. S2).",Zhihong Lin
CT105,Human,Lung,Lung,,Non-small cell lung cancer,B cell,FCRL4+FCRL5+ B cell,,,"FCRL4, FCRL5",,,,,36869384,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,Genome medicine,2023,single cell transcriptome,10× Genomics,Clinical phenotype,positive response to combined therapy,clinical samples,immunofluorescence,PANO 4-plex IHC,protein,"Interestingly, we noticed that CD20+ B cells aggregated in TLS and FCRL4+FCRL5+ B cells located in the center of the TLS (Fig. 4D and Additional file 2: Fig. S6G). Taken together, our analysis suggests that FCRL4+FCRL5+ B cells are associated with anti-tumor activity and a positive response to combined therapy.",Zhihong Lin
CT106,Human,Lung,Lung,,lung adenocarcinoma,Cancer cell,UBE2C + cancer cell,,,"EPCAM, SCGB1A1, UBE2C",,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"From the TCGA-LUAD dataset (402 LUAD cases), patients with high UBE2C expression had poorer progression-free survival (P = 0.025) and overall survival (P = 0.0013), as shown in Fig. 3b.",Zhihong Lin
CT107,Human,Lung,Lung,,lung adenocarcinoma,Cancer cell,UBE2C + cancer cell,,,"EPCAM, SCGB1A1, UBE2C",,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,Biological phenotype, invasion,cell line(PC-9),Transwell assay,,,"Our in vitro experiments confirmed that UBE2C mediates the malignant progression of LUAD by affecting LUAD proliferation and invasion (Fig. 3c, d).",Zhihong Lin
CT108,Human,Lung,Lung,,lung adenocarcinoma,Cancer cell,UBE2C + cancer cell,,,"EPCAM, SCGB1A1, UBE3C",,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,Biological phenotype,proliferation,cell line(PC-9),Cell index assay,,,"Our in vitro experiments confirmed that UBE2C mediates the malignant progression of LUAD by affecting LUAD proliferation and invasion (Fig. 3c, d).",Zhihong Lin
CT109,Human,Lung,Lung,,lung adenocarcinoma,Cancer cell,UBE2C + cancer cell,,,"EPCAM, SCGB1A1, UBE4C",,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,Biological phenotype,tumor growth,mouse,,,,"Furthermore, in vivo experiments showed that UBE2C silencing significantly attenuated the growth of subcutaneous tumors (Fig. 3e–g). ",Zhihong Lin
CT110,Human,Lung,Lung,,lung adenocarcinoma((in situ and minimally invasive)),Cancer cell,cancer cell,,,TM4SF1 + ,,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,Biological phenotype,co-location,clinical samples,,,spatial," in the cancer region, TM4SF1 + cancer cells (Epi-C0) colocalized with the two subtypes of NK cells (T/NK-C4: GNLY and T/NK-C5: NKG7) and mast cells (Mye-C0: TPSB2, Mye-C9: CPA3) (Supplementary Fig. 11c). ",Zhihong Lin
CT111,Human,Lung,Lung,,lung adenocarcinoma((in situ and minimally invasive)),NK cell,NK cell,,,"GNLY, NKG7",,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,Biological phenotype,co-location,clinical samples,,,spatial," in the cancer region, TM4SF1 + cancer cells (Epi-C0) colocalized with the two subtypes of NK cells (T/NK-C4: GNLY and T/NK-C5: NKG7) and mast cells (Mye-C0: TPSB2, Mye-C9: CPA3) (Supplementary Fig. 11c). ",Zhihong Lin
CT112,Human,Lung,Lung,,lung adenocarcinoma((in situ and minimally invasive)),Mast cell,Mast cell,,,"TPSB2, CPA3",,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,Biological phenotype,co-location,clinical samples,,,spatial," in the cancer region, TM4SF1 + cancer cells (Epi-C0) colocalized with the two subtypes of NK cells (T/NK-C4: GNLY and T/NK-C5: NKG7) and mast cells (Mye-C0: TPSB2, Mye-C9: CPA3) (Supplementary Fig. 11c). ",Zhihong Lin
CT113,Human,Lung,Lung,,lung adenocarcinoma((subsequent invasive adenocarcinoma)),Cancer cell,cancer cell,,,"TM4SF1, UBE2C",,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,Biological phenotype,co-location,clinical samples,,,spatial,"Hypergeometric distribution analysis showed that TM4SF1 + cancer cells (Epi-C0) and UBE2C + cancer cells (Epi-C6) were enriched in the cancer region, and CAFs (Fib-1) and Tregs (T/NK-C6: FOXP3) colocalized with the above cancer cell subclusters in the cancer region (Fig. 6d). ",Zhihong Lin
CT114,Human,Lung,Lung,,lung adenocarcinoma((subsequent invasive adenocarcinoma)),Fibroblasts,cancer-associated fibroblast,,,Fib-1,,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,Biological phenotype,co-location,clinical samples,,,spatial,"Hypergeometric distribution analysis showed that TM4SF1 + cancer cells (Epi-C0) and UBE2C + cancer cells (Epi-C6) were enriched in the cancer region, and CAFs (Fib-1) and Tregs (T/NK-C6: FOXP3) colocalized with the above cancer cell subclusters in the cancer region (Fig. 6d). ",Zhihong Lin
CT115,Human,Lung,Lung,,lung adenocarcinoma((subsequent invasive adenocarcinoma)),T cell,Treg,,, FOXP3,,,,,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,Biological phenotype,co-location,clinical samples,,,spatial,"Hypergeometric distribution analysis showed that TM4SF1 + cancer cells (Epi-C0) and UBE2C + cancer cells (Epi-C6) were enriched in the cancer region, and CAFs (Fib-1) and Tregs (T/NK-C6: FOXP3) colocalized with the above cancer cell subclusters in the cancer region (Fig. 6d). ",Zhihong Lin
CT116,Human,Stomach,Stomach,,Gastric Carcinoma,Fibroblast cell,Fibroblast cell,,,"FN1, LUM, DCN",,,,,9394383,"Single-Cell Atlas of Lineage States, Tumor Microenvironment, and Subtype-Specific Expression Programs in Gastric Cancer",Cancer discovery,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,scRNA-seq Reveals Distinct Fibroblast Populations and INHBA–FAP Axis as a CAF Regulator…… Survival analysis of TCGA samples by INHBA levels revealed a significantly poorer survival for tumor samples with high INHBA expression,Zhihong Lin
CT117,Human,Stomach,Stomach,,Gastric Carcinoma,Plasma cells,Plasma cells,,,TNFRSF17,,,,,9394383,"Single-Cell Atlas of Lineage States, Tumor Microenvironment, and Subtype-Specific Expression Programs in Gastric Cancer",Cancer discovery,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,immunohistochemistry,DAKO,protein,We confirmed an increased level of plasma cells in diffuse versus intestinal tumors using IRF4 (a plasma cell marker) IHC on a subset of tumors,Zhihong Lin
CT118,Human,Stomach,Stomach,,Gastric Carcinoma,Stormal cells,PLVAP/RGS5 double-positive stormal cells,,,"FN1, PLVAP, RGS5",,,,,9394383,"Single-Cell Atlas of Lineage States, Tumor Microenvironment, and Subtype-Specific Expression Programs in Gastric Cancer",Cancer discovery,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,RNAScope,ACD bio,RNA,"The large number of analyzed cells also enabled characterization of a novel and rare cell type (STF4) within the stromal metacluster (0.4% of all cells; n = 821), expressing markers associated with both endothelial (PLVAP) and fibroblast (RGS5) lineages (Fig. 1F), possibly highlighting cells undergoing endothelial–mesenchymal transition (EndoMT), a process where endothelial cells acquire a mesenchymal or myofibroblastic phenotype. We ruled out the possibility that the double-lineage nature of STF4 cells is caused by potential technical artifacts such as doublet effects (29) and orthogonally validated the existence of the PLVAP/RGS5 double-positive population on formalin-fixed paraffin-embedded (FFPE) sections using dual-color RNAScope (Supplementary Fig. S2J).",Zhihong Lin
CT119,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 X Spatial,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Notably, patients with HCC and higher infiltration of SPP1+ macrophages had shorter overall survival in three independent cohorts (Fig. 3G and Fig. S4E-F) and shorter progression-free survival in the TCGA LIHC cohort (the only cohort with available progression-free survival information) (Fig. S4G).",
CT120,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 X Spatial,Biological phenotype,immuno suppression,clinical samples,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"mIHC staining showed that SPP1+ macrophages tended to localize at the tumour boundary, whereas CD8+ T cells localized outside the TIB rather than in the tumour core of ICB non-responders (Fig. 5H), while there was less infiltration of SPP1+ macrophages and more infiltration of CD8+ T cells in the tumours of responders (Fig. 5I).",
CT121,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 X Spatial,Biological phenotype,immuno suppression,mice,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"the anti-SPP1 and anti-PD-1 combination dramatically increased the overall survival of tumour-bearing GDL mice (Fig. 6I). Further-more, the combination of anti-SPP1 and anti-PD-1 treatment also markedly reduced the proportion of aSMA+ ﬁbroblasts and increased the proportion of CD8+ T cells in the tumour region (Fig. 6J). In addition, we validated the blockade of SPP1 (Fig. S8F-H) or conditional knockout of macrophage-speciﬁc deletion of Spp1 in mice",
CT122,Human,Liver,Liver,,Hepatocelluar carcinoma,Fibroblast,Cancer-associated fibroblast,,,"SPP1,CD68,LUM,TIMP2",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 X Spatial,Biological phenotype,immuno suppression,mice,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"the anti-SPP1 and anti-PD-1 combination dramatically increased the overall survival of tumour-bearing GDL mice (Fig. 6I). Further-more, the combination of anti-SPP1 and anti-PD-1 treatment also markedly reduced the proportion of aSMA+ ﬁbroblasts and increased the proportion of CD8+ T cells in the tumour region (Fig. 6J). In addition, we validated the blockade of SPP1 (Fig. S8F-H) or conditional knockout of macrophage-speciﬁc deletion of Spp1 in mice",
CT123,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,CD4+ TCM,,,"IL7R,ANXA1,CCR7,LTB,CXCR4,CRIP1,TSC22D3,CD2,RP11-138A9.2,CCR6",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities.",
