CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT166,Human,Breast,Breast,,Breast carcinoma,epithelial cells, early-disseminated cancer cell (EDC),,,,,,,,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,single cell transcriptome,10× Genomics,Clinical phenotype,migration,clinical samples,immunohistochemistry,"Abcam, GeneTech",protein,We next per formed immunohistochemistry (IHC) staining on lymph nodes and primary tumors with positive or negative lymph node metas tasis. We observed that the representative protein expression of COX6C and DHRS2 was positive in samples with lymph node metastasis (Figure 5C).,
CT167,Human,Breast,Breast,,Breast carcinoma,epithelial cells, early-disseminated cancer cell (EDC),,,,,,,,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,single cell transcriptome,10× Genomics,Clinical phenotype,poor OS and distant metastasis-free survival (DMFS),clinical samples,survival analysis,analysis,clinical data,"Further more, COX6C upregulation was associated with poor overall sur vival (OS) in basal-like breast cancer, while poor OS and distant metastasis-free survival (DMFS) in HER2-positive breast cancer. DHRS2 upregulation was associated with poor OS and DMFS in basal-like breast cancer (Figure 6F,G). Collectively, these data validated that the OXPHOS pathway exhibited great value in pre dicting the risk of lymphatic metastasis and prognosis in breast cancer.",
CT168,Human,Breast,Breast,,Breast carcinoma,epithelial cells, early-disseminated cancer cell (EDC),,,,,,,,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,spatial transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,H&E staining,"Pan noramic MIDI FL, 3DHISTECH",clinical data,"By projecting all ST clusters onto cryosections, we observed a noticeable distribution pattern, which was consistent with the histological annotations under H&E staining (Figure 4A, right).Together with the results from pseudo-time analysis, we speculated that the evolvement from the malignant stage (C6) to the dissemina tion stage (C8) is in parallel with the route from the inside of the tumor to the leading edge and finally to metastatic sites.",
CT169,Human,Breast,Breast,,Breast carcinoma,T cells,CD8+CD103+ TRM cell,,,"ITGAE, HAVCR2, PDCD1, CTLA4, TIGIT, LAG3, GZMB, PRF1",,,,,29942092,Single-cell profiling of breast cancer T cells reveals a tissue-resident memory subset associated with improved prognosis,Nature Medicine,2018,single cell transcriptome,10× Genomics,Clinical phenotype,higher proportion,clinical samples,Flow cytometry,e-Bioscience fixation and permeabilization kit,protein,"To further investigate the concept that CD8+ T cells with TRM features are present in BCs with a high quantity of TILs, we used flow cytometry to evaluate CD103 expression on CD8+ T cells isolated from the human BCs used in Fig. 1a,b. We observed that the vast majority of CD8+ TILs expressed CD69 (Supplementary Fig. 3), likely reflective of the tumor microenvironment and not indicative of tissue residency in primary BCs.",
CT170,Human,Breast,Breast,,Breast carcinoma,T cells,CD8+CD103+ TRM cell,,,"ITGAE, HAVCR2, PDCD1, CTLA4, TIGIT, LAG3, GZMB, PRF1",,,,,29942092,Single-cell profiling of breast cancer T cells reveals a tissue-resident memory subset associated with improved prognosis,Nature Medicine,2018,single cell transcriptome,10× Genomics,Biological phenotype,proinflammatory,cell line,co-culture,"BD Biosciences, San Diego, CA",protein,"To explore the functional characteristics of BC CD8+CD103+T cells, we performed in vitro functional assays in which TILs were cocultured with autologous BC cells in the presence or absence of T cell receptor (TCR) stimulation. CD8+CD103+ T cells expressed significantly more granzyme B than CD8+CD103– T cells (Fig. 3d).",
CT171,Human,Breast,Breast,,Breast carcinoma,T cells,CD8+CD103+ TRM cell,,,"ITGAE, HAVCR2, PDCD1, CTLA4, TIGIT, LAG3, GZMB, PRF1",,,,,29942092,Single-cell profiling of breast cancer T cells reveals a tissue-resident memory subset associated with improved prognosis,Nature Medicine,2018,single cell transcriptome,10× Genomics,Clinical phenotype,improved relapse-free and overall survival,clinical samples,survival analysis,analysis,clinical data,"Using available gene expression data from the ‘METABRIC’ consortium, we found that the TRM signature was significantly associated with improved relapse-free and overall sur vival in 329 primary TNBCs after standard chemotherapy (Fig. 4). ",
CT172,Human,Breast,Breast,,Breast carcinoma,T cells,CD8+CD103+ TRM cell,,,"ITGAE, HAVCR2, PDCD1, CTLA4, TIGIT, LAG3, GZMB, PRF1",,,,,29942092,Single-cell profiling of breast cancer T cells reveals a tissue-resident memory subset associated with improved prognosis,Nature Medicine,2018,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,Immunohistochemistry (IHC) staining,"Benchmark Ultra Autostainer (Ventana Medical Systems, Tuscon, AZ, USA)",clinical data,The presence of CD8+ T cells also expressing CD103 was confirmed with multiplex and single-stain immunohisto chemistry in primary TNBCs (Fig. 1e and Supplementary Fig. 11).,
CT173,Human,Breast,Breast,,Breast carcinoma,Fibroblast,vascular CAFs (vCAFs),,,"Mcam, Notch3, Epas1, Col18a1, Nr2f2",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,invasion,mice,Immunostaining,"Santa Cruz Biotechnology,  Abcam, Thermo Fisher",protein,"In accordance with their apparent func tion, vCAFs predominantly localized in proximity to the vascu lature, as shown by immunostaining for the vCAF markerNidogen-2 and the endothelial cell marker CD31 (Fig. 3c). Gratifyingly, immunostaining of Nidogen-2 in human breast tissues showed a stromal expression pattern(Fig. 3d) and a similar pattern was observed in human breastcarcinomas included in The Human Protein Atlas (http://www.proteinatlas.org)25, providing independent evidence (Supple mentary Figure 4d).",
CT174,Human,Breast,Breast,,Breast carcinoma,Fibroblast,vascular CAFs (vCAFs),,,"Mcam, Notch3, Epas1, Col18a1, Nr2f2",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,invasion,mice,immunohistochemistry,"Mouse on Mouse (M.O.M.) basic kit (Vector Laboratories, BMK-2202)",protein,We confirmed the high abundance of vCAFs within the stromal compartment of tumors from MMTV-PyMT mice using desmin as a marker (Fig. 3b).,
CT175,Human,Breast,Breast,,Breast carcinoma,Fibroblast,vascular CAFs (vCAFs),,,"Mcam, Notch3, Epas1, Col18a1, Nr2f2",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,invasion,mice,RNAscope in situ hybridization (RNA-ISH)," RNAscope Fluorescent
Multiplex Assay (Advanced Cell Diagnostics, USA)",RNA,"Since Nidogen-2 is a secreted protein, we confirmed its validity as a vCAF marker in immunostainings by combining RNAscope in situ hybridization (RNA-ISH) for vCAF transcripts Kcnj8 and Notch3 with immunostaining of Nidogen-2 (Supple mentary Figure 4c).",
CT176,Human,Breast,Breast,,Breast carcinoma,Fibroblast,matrix CAFs (mCAFs),,,"CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,existence,mice,Immunohistochemistry (IHC) staining,"Benchmark Ultra Autostainer (Ventana Medical Systems, Tuscon, AZ, USA)",protein,"Immunostaining of the mCAF markers Fibulin-1 and PDGFRα showed high prevalence of positive cells at the invasive front of tumors, in contrast to the relatively low abundance of mCAFs in the tumor core (Fig. 3f). The two mCAF markers Fibulin-1 and PDGFRα identified a profuse infiltration of mCAFs in the tumor stroma of human breast cancer tissue (Fig. 3g, h and Supplementary Figure 4d,f).",
CT177,Human,Breast,Breast,,Breast carcinoma,Fibroblast,matrix CAFs (mCAFs),,,"CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,decreased during tumor progression,mice,Immunostaining,"Santa Cruz Biotechnology,  Abcam, Thermo Fisher",protein,"In contrast to vCAFs, the relative number of mCAFs decreased during tumor progression in the MMTV-PyMT mouse model (Fig. 3c).",
CT178,Human,Breast,Breast,,Breast carcinoma,Fibroblast,developmental CAFs (dCAFs),,,"Scrg1, Sox9, Sox10, Col9a3, Chad, Mia, Spint2",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,existence,mice,Immunostaining,"Santa Cruz Biotechnology,  Abcam, Thermo Fisher",protein,"Interestingly, dCAFs were intermingled with the malignant epithelium during early stages of tumor development, whereas SCRG1-positive cells could be found both within the epithelium and in stromal streaks of late-stage tumors (Fig. 4b).",
CT179,Human,Breast,Breast,,Breast carcinoma,Fibroblast,developmental CAFs (dCAFs),,,"Scrg1, Sox9, Sox10, Col9a3, Chad, Mia, Spint2",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,origination,mice,RNAscope in situ hybridization (RNA-ISH)," RNAscope Fluorescent
Multiplex Assay (Advanced Cell Diagnostics, USA)",RNA,"We next used RNA-ISH in order to detect dCAF-specific transcripts in tumor tissue with a variety of markers (Supple mentary Figure 5a,b). Taken together, the overlapping expression of dCAF SDE genes in both tumor epithelium and in stromal mesenchymal cells suggests that dCAFs may originate from tumor cells that have undergone an epithelial to-mesenchymal transition (EMT).",
CT180,Human,Breast,Breast,,Breast carcinoma,Fibroblast,vCAFs and mCAFs,,,"Mcam, Notch3, Epas1, Col18a1, Nr2f2
CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Biological phenotype,migration,mice,Transwell invasion assay,MycoAlertTM Mycoplasma Detection Kit (Lonza),protein,"Finally, to obtain an experimental correlate of the invasion-promoting effects of vCAFs and mCAFs suggested by our analysis, we seeded PeRo-Bas1 breast cancer cells isolated from MMTV-PyMT mice in the upper chamber of a trans-well system. In support of our previous findings in human tumors, both vCAFs and mCAFs significantly augmented the number of cancer cells that invaded through the matrix into the lower chamber, compared to cell culture medium alone (Fig. 5j).",
CT181,Human,Breast,Breast,,Breast carcinoma,Fibroblast,vCAFs and mCAFs,,,"Mcam, Notch3, Epas1, Col18a1, Nr2f2
CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",,,,,30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,Clinical phenotype,increased risk for metastatic,clinical samples,survival analysis,analysis,clinical data,"In strong support of the notion of CAFs as modifiers of the malignant phenotype, the vCAF gene signature was found to be an independent prognostic indicator associated with an increased risk for developing metastatic disease in both univariable and multivariable analysis in a conditional logistic regression model involving common risk factors such as lymph node status, tumor size, HER2 status, and proliferative index (Table 1). Similarly, mCAFs were also associated with risk of disseminated disease, albeit to a lesser degree (Table 1).",
